timestamp,station_complex_id,station_complex,passenger_exits
2025-05-05 00:00:00,181,"Utica Av (A,C)",130.0308
2025-05-05 00:00:00,182,Ralph Av (C),42.0587
2025-05-05 00:00:00,183,Rockaway Av (C),58.3574
2025-05-05 00:00:00,185,Liberty Av (C),14.8946
2025-05-05 00:00:00,186,Van Siclen Av (C),22.8222
2025-05-05 00:00:00,187,Shepherd Av (C),20.541
2025-05-05 00:00:00,188,"Euclid Av (A,C)",84.7116
2025-05-05 00:00:00,189,Grant Av (A),54.9739
2025-05-05 00:00:00,190,80 St (A),58.6802
2025-05-05 00:00:00,191,88 St (A),27.0459
2025-05-05 00:00:00,192,Rockaway Blvd (A),40.4904
2025-05-05 00:00:00,193,104 St (A),16.1518
2025-05-05 00:00:00,194,111 St (A),10.8632
2025-05-05 00:00:00,195,Ozone Park-Lefferts Blvd (A),33.3283
2025-05-05 00:00:00,196,Aqueduct Racetrack (A),5.0081
2025-05-05 00:00:00,197,Aqueduct-N Conduit Av (A),3.5923
2025-05-05 00:00:00,198,Howard Beach-JFK Airport (A),47.496
2025-05-05 00:00:00,199,"Broad Channel (A,S)",1.3397999999999999
2025-05-05 00:00:00,200,"Beach 90 St (A,S)",1.6989999999999998
2025-05-05 00:00:00,201,"Beach 98 St (A,S)",1.2066000000000001
2025-05-05 00:00:00,203,"Rockaway Park-Beach 116 St (A,S)",1.2235
2025-05-05 00:00:00,204,Beach 67 St (A),9.6663
2025-05-05 00:00:00,205,Beach 60 St (A),7.0517
2025-05-05 00:00:00,206,Beach 44 St (A),2.8742
2025-05-05 00:00:00,207,Beach 36 St (A),1.634
2025-05-05 00:00:00,208,Beach 25 St (A),4.8401000000000005
2025-05-05 00:00:00,209,Far Rockaway-Mott Av (A),17.1221
2025-05-05 00:00:00,210,Norwood-205 St (D),60.9432
2025-05-05 00:00:00,211,"Bedford Park Blvd (B,D)",41.3345
2025-05-05 00:00:00,212,"Kingsbridge Rd (B,D)",59.1314
2025-05-05 00:00:00,213,"Fordham Rd (B,D)",88.6411
2025-05-05 00:00:00,214,"182-183 Sts (B,D)",53.9658
2025-05-05 00:00:00,215,"Tremont Av (B,D)",71.9757
2025-05-05 00:00:00,216,"174-175 Sts (B,D)",34.6035
2025-05-05 00:00:00,217,"170 St (B,D)",60.0106
2025-05-05 00:00:00,218,"167 St (B,D)",85.524
2025-05-05 00:00:00,220,"155 St (B,D)",11.7373
2025-05-05 00:00:00,221,21 St-Queensbridge (F),102.0581
2025-05-05 00:00:00,222,Roosevelt Island (F),52.0179
2025-05-05 00:00:00,223,"Lexington Av/63 St (F,Q)",45.4118
2025-05-05 00:00:00,224,57 St (F),35.603300000000004
2025-05-05 00:00:00,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",59.9529
2025-05-05 00:00:00,228,"23 St (F,M)",33.3806
2025-05-05 00:00:00,231,"Grand St (B,D)",59.5235
2025-05-05 00:00:00,232,2 Av (F),55.4083
2025-05-05 00:00:00,234,East Broadway (F),60.5585
2025-05-05 00:00:00,235,York St (F),36.6058
2025-05-05 00:00:00,236,"Bergen St (F,G)",21.9722
2025-05-05 00:00:00,237,"Carroll St (F,G)",21.1788
2025-05-05 00:00:00,238,"Smith-9 Sts (F,G)",14.0385
2025-05-05 00:00:00,240,"7 Av (F,G)",25.982
2025-05-05 00:00:00,241,"15 St-Prospect Park (F,G)",11.1735
2025-05-05 00:00:00,242,"Fort Hamilton Pkwy (F,G)",16.1917
2025-05-05 00:00:00,243,"Church Av (F,G)",60.9384
2025-05-05 00:00:00,244,Ditmas Av (F),24.5807
2025-05-05 00:00:00,245,18 Av (F),13.7596
2025-05-05 00:00:00,246,Avenue I (F),3.6048
2025-05-05 00:00:00,247,Bay Pkwy (F),6.3697
2025-05-05 00:00:00,248,Avenue N (F),13.0257
2025-05-05 00:00:00,249,Avenue P (F),9.1722
2025-05-05 00:00:00,250,Kings Hwy (F),9.5538
2025-05-05 00:00:00,251,Avenue U (F),3.6982
2025-05-05 00:00:00,252,Avenue X (F),10.2367
2025-05-05 00:00:00,253,Neptune Av (F),4.9527
2025-05-05 00:00:00,254,Jamaica-179 St (F),119.6797
2025-05-05 00:00:00,255,169 St (F),71.1814
2025-05-05 00:00:00,256,Parsons Blvd (F),66.3618
2025-05-05 00:00:00,257,Sutphin Blvd (F),43.9011
2025-05-05 00:00:00,258,"Briarwood (E,F)",23.1847
2025-05-05 00:00:00,259,"Kew Gardens-Union Tpke (E,F)",120.8569
2025-05-05 00:00:00,260,"75 Av (E,F)",11.5211
2025-05-05 00:00:00,261,"Forest Hills-71 Av (E,F,M,R)",94.5708
2025-05-05 00:00:00,262,"67 Av (M,R)",30.0814
2025-05-05 00:00:00,263,"63 Dr-Rego Park (M,R)",65.101
2025-05-05 00:00:00,264,"Woodhaven Blvd (M,R)",103.1515
2025-05-05 00:00:00,265,"Grand Av-Newtown (M,R)",128.6245
2025-05-05 00:00:00,266,"Elmhurst Av (M,R)",112.8355
2025-05-05 00:00:00,268,"65 St (M,R)",29.566
2025-05-05 00:00:00,269,"Northern Blvd (M,R)",38.390100000000004
2025-05-05 00:00:00,270,"46 St (M,R)",47.367399999999996
2025-05-05 00:00:00,271,"Steinway St (M,R)",60.6334
2025-05-05 00:00:00,272,"36 St (M,R)",17.3152
2025-05-05 00:00:00,273,"Queens Plaza (E,M,R)",80.8453
2025-05-05 00:00:00,276,"5 Av/53 St (E,M)",12.2729
2025-05-05 00:00:00,277,"7 Av (E,B,D)",54.9132
2025-05-05 00:00:00,278,"Jamaica Center-Parsons/Archer (E,J,Z)",169.7848
2025-05-05 00:00:00,279,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",153.0169
2025-05-05 00:00:00,280,Jamaica-Van Wyck (E),30.9526
2025-05-05 00:00:00,282,21 St (G),9.7518
2025-05-05 00:00:00,283,Greenpoint Av (G),47.35
2025-05-05 00:00:00,284,Nassau Av (G),35.1788
2025-05-05 00:00:00,286,Broadway (G),19.581
2025-05-05 00:00:00,287,Flushing Av (G),14.9761
2025-05-05 00:00:00,288,Myrtle-Willoughby Avs (G),46.6763
2025-05-05 00:00:00,289,Bedford-Nostrand Avs (G),66.32639999999999
2025-05-05 00:00:00,290,Classon Av (G),27.6056
2025-05-05 00:00:00,291,Clinton-Washington Avs (G),21.229
2025-05-05 00:00:00,292,Fulton St (G),11.4296
2025-05-05 00:00:00,293,Van Cortlandt Park-242 St (1),31.1972
2025-05-05 00:00:00,294,238 St (1),31.1493
2025-05-05 00:00:00,295,231 St (1),46.4253
