transit_timestamp,station_complex_id,station_complex,borough,latitude,longitude,passenger_entries,passenger_exits,exit_data_available,scheduled_trains,schedule_data_available,hour,day_of_week,is_weekend
2025-05-05 00:00:00,83,"Woodhaven Blvd (J,Z)",Queens,40.69388,-73.85158,10.0,29.7753,1,3.0,1,0,0,0
2025-05-05 00:00:00,84,85 St-Forest Pkwy (J),Queens,40.692436,-73.86001,1.0,13.1893,1,2.0,1,0,0,0
2025-05-05 00:00:00,85,"75 St-Elderts Ln (J,Z)",Queens,40.691322,-73.86714,7.0,30.7287,1,2.0,1,0,0,0
2025-05-05 00:00:00,86,Cypress Hills (J),Brooklyn,40.68994,-73.87255,1.0,2.66,1,2.0,1,0,0,0
2025-05-05 00:00:00,87,"Crescent St (J,Z)",Brooklyn,40.683193,-73.87379,6.0,30.7845,1,2.0,1,0,0,0
2025-05-05 00:00:00,88,"Norwood Av (J,Z)",Brooklyn,40.68141,-73.880035,2.0,18.5165,1,2.0,1,0,0,0
2025-05-05 00:00:00,89,Cleveland St (J),Brooklyn,40.679947,-73.884636,8.0,8.7143,1,2.0,1,0,0,0
2025-05-05 00:00:00,90,"Van Siclen Av (J,Z)",Brooklyn,40.678024,-73.891685,5.0,21.771,1,2.0,1,0,0,0
2025-05-05 00:00:00,91,"Alabama Av (J,Z)",Brooklyn,40.67699,-73.89865,6.0,12.0422,1,2.0,1,0,0,0
2025-05-05 00:00:00,93,"Chauncey St (J,Z)",Brooklyn,40.68289,-73.91045,9.0,19.286,1,2.0,1,0,0,0
2025-05-05 00:00:00,94,Halsey St (J),Brooklyn,40.68637,-73.91656,12.0,58.2188,1,2.0,1,0,0,0
2025-05-05 00:00:00,95,"Gates Av (J,Z)",Brooklyn,40.68963,-73.92227,10.0,54.1817,1,2.0,1,0,0,0
2025-05-05 00:00:00,96,Kosciuszko St (J),Brooklyn,40.69334,-73.92882,13.0,47.9204,1,1.0,1,0,0,0
2025-05-05 00:00:00,97,"Myrtle Av (M,J,Z)",Brooklyn,40.69721,-73.93565,72.0,86.4952,1,5.0,1,0,0,0
2025-05-05 00:00:00,98,"Flushing Av (M,J)",Brooklyn,40.70026,-73.941124,31.0,35.0204,1,1.0,1,0,0,0
2025-05-05 00:00:00,99,"Lorimer St (M,J)",Brooklyn,40.70387,-73.94741,9.0,21.1126,1,1.0,1,0,0,0
2025-05-05 00:00:00,100,"Hewes St (M,J)",Brooklyn,40.70687,-73.95343,43.0,15.1128,1,,0,0,0,0
2025-05-05 00:00:00,101,"Marcy Av (M,J,Z)",Brooklyn,40.70836,-73.957756,3.0,41.4168,1,,0,0,0,0
2025-05-05 00:00:00,108,Middle Village-Metropolitan Av (M),Queens,40.711395,-73.8896,6.0,15.2416,1,2.0,1,0,0,0
2025-05-05 00:00:00,109,Fresh Pond Rd (M),Queens,40.706184,-73.895874,5.0,28.3688,1,6.0,1,0,0,0
2025-05-05 00:00:00,110,Forest Av (M),Queens,40.704422,-73.903076,4.0,27.1509,1,6.0,1,0,0,0
2025-05-05 00:00:00,111,Seneca Av (M),Queens,40.702763,-73.90774,4.0,19.7902,1,6.0,1,0,0,0
2025-05-05 00:00:00,113,Knickerbocker Av (M),Brooklyn,40.698666,-73.91971,4.0,24.139,1,6.0,1,0,0,0
2025-05-05 00:00:00,114,Central Av (M),Brooklyn,40.697857,-73.9274,8.0,29.0123,1,6.0,1,0,0,0
2025-05-05 00:00:00,118,3 Av (L),Manhattan,40.73285,-73.98612,91.0,19.3886,1,3.0,1,0,0,0
2025-05-05 00:00:00,119,1 Av (L),Manhattan,40.730953,-73.98163,155.0,109.4538,1,3.0,1,0,0,0
2025-05-05 00:00:00,120,Bedford Av (L),Brooklyn,40.717304,-73.95687,219.0,150.2846,1,3.0,1,0,0,0
2025-05-05 00:00:00,122,Graham Av (L),Brooklyn,40.714565,-73.94405,38.0,56.481,1,3.0,1,0,0,0
2025-05-05 00:00:00,123,Grand St (L),Brooklyn,40.711926,-73.94067,21.0,40.7119,1,3.0,1,0,0,0
2025-05-05 00:00:00,124,Montrose Av (L),Brooklyn,40.70774,-73.93985,36.0,56.8824,1,3.0,1,0,0,0
2025-05-05 00:00:00,125,Morgan Av (L),Brooklyn,40.706154,-73.93314,32.0,71.6447,1,3.0,1,0,0,0
2025-05-05 00:00:00,126,Jefferson St (L),Brooklyn,40.706608,-73.92291,78.0,79.4428,1,3.0,1,0,0,0
2025-05-05 00:00:00,127,DeKalb Av (L),Brooklyn,40.70381,-73.91843,25.0,121.0219,1,3.0,1,0,0,0
2025-05-05 00:00:00,129,Halsey St (L),Queens,40.695602,-73.90408,27.0,82.4138,1,4.0,1,0,0,0
2025-05-05 00:00:00,130,Wilson Av (L),Brooklyn,40.688763,-73.904045,8.0,57.3422,1,4.0,1,0,0,0
2025-05-05 00:00:00,131,Bushwick Av-Aberdeen St (L),Brooklyn,40.68283,-73.90525,11.0,33.6343,1,4.0,1,0,0,0
2025-05-05 00:00:00,133,Atlantic Av (L),Brooklyn,40.675346,-73.9031,13.0,18.0865,1,4.0,1,0,0,0
2025-05-05 00:00:00,134,Sutter Av (L),Brooklyn,40.66937,-73.90198,13.0,32.817,1,4.0,1,0,0,0
