transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude
2025-05-05 06:00:00,subway,156,"103 St (C,B)",Manhattan,omny,OMNY - Fair Fare,1.0,0.0,40.796093,-73.96146
2025-05-05 06:00:00,subway,241,"15 St-Prospect Park (F,G)",Brooklyn,omny,OMNY - Full Fare,80.0,4.0,40.660366,-73.97949
2025-05-05 06:00:00,subway,243,"Church Av (F,G)",Brooklyn,omny,OMNY - Seniors & Disability,17.0,2.0,40.64404,-73.979675
2025-05-05 06:00:00,subway,282,21 St (G),Queens,metrocard,Metrocard - Other,12.0,0.0,40.744064,-73.94972
2025-05-05 06:00:00,subway,291,Clinton-Washington Avs (G),Brooklyn,metrocard,Metrocard - Full Fare,8.0,1.0,40.688087,-73.96684
2025-05-05 06:00:00,subway,295,231 St (1),Bronx,metrocard,Metrocard - Fair Fare,28.0,0.0,40.878857,-73.90483
2025-05-05 06:00:00,subway,3,"30 Av (N,W)",Queens,metrocard,Metrocard - Unlimited 30-Day,60.0,0.0,40.76678,-73.92148
2025-05-05 06:00:00,subway,337,"Nevins St (2,3,4,5)",Brooklyn,metrocard,Metrocard - Seniors & Disability,4.0,0.0,40.688248,-73.98049
2025-05-05 06:00:00,subway,339,"Bergen St (2,3)",Brooklyn,metrocard,Metrocard - Seniors & Disability,1.0,0.0,40.68083,-73.9751
2025-05-05 06:00:00,subway,365,Castle Hill Av (6),Bronx,metrocard,Metrocard - Unlimited 7-Day,38.0,0.0,40.834255,-73.85122
2025-05-05 06:00:00,subway,379,Mosholu Pkwy (4),Bronx,metrocard,Metrocard - Unlimited 7-Day,31.0,0.0,40.87975,-73.88466
2025-05-05 06:00:00,subway,383,183 St (4),Bronx,metrocard,Metrocard - Fair Fare,14.0,0.0,40.858406,-73.90388
2025-05-05 06:00:00,subway,39,Bay Ridge-95 St (R),Brooklyn,omny,OMNY - Fair Fare,4.0,0.0,40.616623,-74.030876
2025-05-05 06:00:00,subway,431,"Intervale Av (2,5)",Bronx,metrocard,Metrocard - Full Fare,35.0,3.0,40.82218,-73.896736
2025-05-05 06:00:00,subway,440,"116 St (2,3)",Manhattan,metrocard,Metrocard - Full Fare,28.0,2.0,40.802097,-73.94962
2025-05-05 06:00:00,subway,475,96 St (Q),Manhattan,omny,OMNY - Full Fare,256.0,28.0,40.784317,-73.94715
2025-05-05 06:00:00,subway,605,"168 St-Washington Hts (1,A,C)",Manhattan,omny,OMNY - Other,2.0,0.0,40.840637,-73.93985
2025-05-05 06:00:00,subway,615,"62 St/New Utrecht Av (D,N)",Brooklyn,metrocard,Metrocard - Unlimited 30-Day,35.0,0.0,40.625656,-73.99663
2025-05-05 06:00:00,subway,619,"Broadway-Lafayette St/Bleecker St (6,B,D,F,M)",Manhattan,metrocard,Metrocard - Full Fare,19.0,0.0,40.725605,-73.99543
2025-05-05 06:00:00,subway,70,Bay 50 St (D),Brooklyn,omny,OMNY - Seniors & Disability,6.0,0.0,40.58884,-73.983765
2025-05-05 06:00:00,subway,118,3 Av (L),Manhattan,metrocard,Metrocard - Other,2.0,0.0,40.73285,-73.98612
