transit_timestamp,station_complex_id,station_complex,borough,latitude,longitude,passenger_entries
2025-05-05 00:00:00,100,"Hewes St (M,J)",Brooklyn,40.70687,-73.95343,43.0
2025-05-05 00:00:00,101,"Marcy Av (M,J,Z)",Brooklyn,40.70836,-73.957756,3.0
2025-05-05 00:00:00,108,Middle Village-Metropolitan Av (M),Queens,40.711395,-73.8896,6.0
2025-05-05 00:00:00,109,Fresh Pond Rd (M),Queens,40.706184,-73.895874,5.0
2025-05-05 00:00:00,110,Forest Av (M),Queens,40.704422,-73.903076,4.0
2025-05-05 00:00:00,111,Seneca Av (M),Queens,40.702763,-73.90774,4.0
2025-05-05 00:00:00,113,Knickerbocker Av (M),Brooklyn,40.698666,-73.91971,4.0
2025-05-05 00:00:00,114,Central Av (M),Brooklyn,40.697857,-73.9274,8.0
2025-05-05 00:00:00,118,3 Av (L),Manhattan,40.73285,-73.98612,91.0
2025-05-05 00:00:00,119,1 Av (L),Manhattan,40.730953,-73.98163,155.0
2025-05-05 00:00:00,120,Bedford Av (L),Brooklyn,40.717304,-73.95687,219.0
2025-05-05 00:00:00,122,Graham Av (L),Brooklyn,40.714565,-73.94405,38.0
2025-05-05 00:00:00,123,Grand St (L),Brooklyn,40.711926,-73.94067,21.0
2025-05-05 00:00:00,124,Montrose Av (L),Brooklyn,40.70774,-73.93985,36.0
2025-05-05 00:00:00,125,Morgan Av (L),Brooklyn,40.706154,-73.93314,32.0
2025-05-05 00:00:00,126,Jefferson St (L),Brooklyn,40.706608,-73.92291,78.0
2025-05-05 00:00:00,127,DeKalb Av (L),Brooklyn,40.70381,-73.91843,25.0
2025-05-05 00:00:00,129,Halsey St (L),Queens,40.695602,-73.90408,27.0
2025-05-05 00:00:00,130,Wilson Av (L),Brooklyn,40.688763,-73.904045,8.0
2025-05-05 00:00:00,131,Bushwick Av-Aberdeen St (L),Brooklyn,40.68283,-73.90525,11.0
2025-05-05 00:00:00,133,Atlantic Av (L),Brooklyn,40.675346,-73.9031,13.0
2025-05-05 00:00:00,134,Sutter Av (L),Brooklyn,40.66937,-73.90198,13.0
2025-05-05 00:00:00,135,Livonia Av (L),Brooklyn,40.66404,-73.90057,11.0
2025-05-05 00:00:00,136,New Lots Av (L),Brooklyn,40.658733,-73.89923,15.0
2025-05-05 00:00:00,137,East 105 St (L),Brooklyn,40.650574,-73.89948,5.0
2025-05-05 00:00:00,138,Canarsie-Rockaway Pkwy (L),Brooklyn,40.646652,-73.90185,17.0
2025-05-05 00:00:00,141,Park Pl (S),Brooklyn,40.67477,-73.95763,5.0
2025-05-05 00:00:00,143,Inwood-207 St (A),Manhattan,40.868073,-73.9199,29.0
2025-05-05 00:00:00,144,Dyckman St (A),Manhattan,40.86549,-73.92727,9.0
2025-05-05 00:00:00,145,190 St (A),Manhattan,40.85902,-73.93418,2.0
2025-05-05 00:00:00,146,181 St (A),Manhattan,40.851696,-73.937965,9.0
2025-05-05 00:00:00,147,175 St (A),Manhattan,40.84739,-73.939705,15.0
2025-05-05 00:00:00,149,163 St-Amsterdam Av (C),Manhattan,40.836014,-73.939896,7.0
2025-05-05 00:00:00,150,155 St (C),Manhattan,40.830517,-73.94151,10.0
2025-05-05 00:00:00,151,"145 St (A,C,B,D)",Manhattan,40.824783,-73.944214,53.0
2025-05-05 00:00:00,152,"135 St (C,B)",Manhattan,40.817894,-73.94765,8.0
2025-05-05 00:00:00,153,"125 St (A,C,B,D)",Manhattan,40.811108,-73.95235,124.0
2025-05-05 00:00:00,154,"116 St (C,B)",Manhattan,40.805084,-73.95488,3.0
2025-05-05 00:00:00,155,"Cathedral Pkwy (110 St) (C,B)",Manhattan,40.800602,-73.95816,18.0
2025-05-05 00:00:00,156,"103 St (C,B)",Manhattan,40.796093,-73.96146,9.0
2025-05-05 00:00:00,157,"96 St (C,B)",Manhattan,40.79164,-73.9647,26.0
2025-05-05 00:00:00,158,"86 St (C,B)",Manhattan,40.78587,-73.96892,25.0
2025-05-05 00:00:00,159,"81 St-Museum of Natural History (C,B)",Manhattan,40.781433,-73.972145,25.0
2025-05-05 00:00:00,160,"72 St (C,B)",Manhattan,40.775593,-73.97641,19.0
2025-05-05 00:00:00,162,"50 St (C,E)",Manhattan,40.762455,-73.985985,102.0
2025-05-05 00:00:00,164,"34 St-Penn Station (A,C,E)",Manhattan,40.75229,-73.99339,293.0
2025-05-05 00:00:00,165,"23 St (C,E)",Manhattan,40.745907,-73.99804,37.0
2025-05-05 00:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,40.732338,-74.000496,621.0
2025-05-05 00:00:00,168,"Spring St (C,E)",Manhattan,40.726227,-74.00374,23.0
2025-05-05 00:00:00,169,"Canal St (A,C,E)",Manhattan,40.720825,-74.005226,95.0
2025-05-05 00:00:00,173,"High St (A,C)",Brooklyn,40.699337,-73.99053,24.0
2025-05-05 00:00:00,175,"Hoyt-Schermerhorn Sts (A,C,G)",Brooklyn,40.688484,-73.985,56.0
2025-05-05 00:00:00,176,Lafayette Av (C),Brooklyn,40.68611,-73.973946,33.0
2025-05-05 00:00:00,177,Clinton-Washington Avs (C),Brooklyn,40.68326,-73.965836,35.0
2025-05-05 00:00:00,179,"Nostrand Av (A,C)",Brooklyn,40.68044,-73.950424,65.0
2025-05-05 00:00:00,180,Kingston-Throop Avs (C),Brooklyn,40.67992,-73.94086,16.0
2025-05-05 00:00:00,181,"Utica Av (A,C)",Brooklyn,40.679363,-73.93073,53.0
2025-05-05 00:00:00,182,Ralph Av (C),Brooklyn,40.67882,-73.920784,19.0
2025-05-05 00:00:00,183,Rockaway Av (C),Brooklyn,40.67834,-73.91195,30.0
