stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id
"14252","Caulfield Station","-37.87737480","145.04231101","https://transport.vic.gov.au/stop/1036/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:CFD","1","Level 1"
"14253","Caulfield Station","-37.87727704","145.04239318","https://transport.vic.gov.au/stop/1036/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:CFD","1","Level 1"
"14254","Caulfield Station","-37.87717909","145.04246399","https://transport.vic.gov.au/stop/1036/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:CFD","1","Level 1"
"14324","North Melbourne Station","-37.80720684","144.94230306","https://transport.vic.gov.au/stop/1144/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:NME","1","Level -1"
"14325","North Melbourne Station","-37.80728692","144.94224405","https://transport.vic.gov.au/stop/1144/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:NME","1","Level -1"
"14326","North Melbourne Station","-37.80731295","144.94218654","https://transport.vic.gov.au/stop/1144/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:NME","1","Level -1"
"14327","North Melbourne Station","-37.80736580","144.94211692","https://transport.vic.gov.au/stop/1144/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:NME","1","Level -1"
"14328","North Melbourne Station","-37.80740084","144.94205915","https://transport.vic.gov.au/stop/1144/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:NME","1","Level -1"
"14329","North Melbourne Station","-37.80736243","144.94192392","https://transport.vic.gov.au/stop/1144/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:NME","1","Level -1"
"15352","Sunbury Station","-37.57905771","144.72793124","https://transport.vic.gov.au/stop/1187/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:SUY","1","Level 0"
"15355","Watergardens Station","-37.70077275","144.77394158","https://transport.vic.gov.au/stop/1202/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:WGS","1","Level 0"
"15356","Watergardens Station","-37.70098998","144.77399179","https://transport.vic.gov.au/stop/1202/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:WGS","1","Level 0"
"15357","Watergardens Station","-37.70101593","144.77393431","https://transport.vic.gov.au/stop/1202/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:WGS","1","Level 0"
"15518","Footscray Station","-37.80137842","144.90207784","https://transport.vic.gov.au/stop/1072/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:FSY","1","Level 0"
